tanggal,result,as,kop,kepala,ekor
2019-12-28,4311,4,3,1,1
2019-12-29,6059,6,0,5,9
2019-12-30,8298,8,2,9,8
2019-12-31,5501,5,5,0,1
2020-01-01,3449,3,4,4,9
2020-01-02,1045,1,0,4,5
2020-01-03,3046,3,0,4,6
2020-01-04,3761,3,7,6,1
2020-01-05,4147,4,1,4,7
2020-01-06,8896,8,8,9,6
2020-01-07,7535,7,5,3,5
2020-01-08,1455,1,4,5,5
2020-01-09,4145,4,1,4,5
2020-01-10,7474,7,4,7,4
2020-01-11,7224,7,2,2,4
2020-01-12,0383,0,3,8,3
2020-01-13,5848,5,8,4,8
2020-01-14,0806,0,8,0,6
2020-01-15,0277,0,2,7,7
2020-01-16,4687,4,6,8,7
2020-01-17,5618,5,6,1,8
2020-01-18,0566,0,5,6,6
2020-01-19,8427,8,4,2,7
2020-01-20,2192,2,1,9,2
2020-01-21,1498,1,4,9,8
2020-01-22,9121,9,1,2,1
2020-01-23,7699,7,6,9,9
2020-01-24,9651,9,6,5,1
2020-01-25,3894,3,8,9,4
2020-01-26,6765,6,7,6,5
2020-01-27,8242,8,2,4,2
2020-01-28,9819,9,8,1,9
2020-01-29,0018,0,0,1,8
2020-01-30,3808,3,8,0,8
2020-01-31,4314,4,3,1,4
2020-02-01,2530,2,5,3,0
2020-02-02,7340,7,3,4,0
2020-02-03,9412,9,4,1,2
2020-02-04,6554,6,5,5,4
2020-02-05,3122,3,1,2,2
2020-02-06,7202,7,2,0,2
2020-02-07,0880,0,8,8,0
2020-02-08,6054,6,0,5,4
2020-02-09,4122,4,1,2,2
2020-02-10,3748,3,7,4,8
2020-02-11,3362,3,3,6,2
2020-02-12,3704,3,7,0,4
2020-02-13,8055,8,0,5,5
2020-02-14,4860,4,8,6,0
2020-02-15,8947,8,9,4,7
2020-02-16,6140,6,1,4,0
2020-02-17,0318,0,3,1,8
2020-02-18,1985,1,9,8,5
2020-02-19,4360,4,3,6,0
2020-02-20,3708,3,7,0,8
2020-02-21,9066,9,0,6,6
2020-02-22,0083,0,0,8,3
2020-02-23,7618,7,6,1,8
2020-02-24,8628,8,6,2,8
2020-02-25,8388,8,3,8,8
2020-02-26,0623,0,6,2,3
2020-02-27,9221,9,2,2,1
2020-02-28,7904,7,9,0,4
2020-02-29,1140,1,1,4,0
2020-03-01,6745,6,7,4,5
2020-03-02,7675,7,6,7,5
2020-03-03,6907,6,9,0,7
2020-03-04,4253,4,2,5,3
2020-03-05,0035,0,0,3,5
2020-03-06,3652,3,6,5,2
2020-03-07,4892,4,8,9,2
2020-03-08,2801,2,8,0,1
2020-03-09,9948,9,9,4,8
2020-03-10,4573,4,5,7,3
2020-03-11,5120,5,1,2,0
2020-03-12,7738,7,7,3,8
2020-03-13,9256,9,2,5,6
2020-03-14,4554,4,5,5,4
2020-03-15,2238,2,2,3,8
2020-03-16,8127,8,1,2,7
2020-03-17,1102,1,1,0,2
2020-03-18,6565,6,5,6,5
2020-03-19,8044,8,0,4,4
2020-03-20,8341,8,3,4,1
2020-03-21,1148,1,1,4,8
2020-03-22,3279,3,2,7,9
2020-03-23,2099,2,0,9,9
2020-03-24,7336,7,3,3,6
2020-03-25,4326,4,3,2,6
2020-03-26,4074,4,0,7,4
2020-03-27,1190,1,1,9,0
2020-03-28,2093,2,0,9,3
2020-03-29,2364,2,3,6,4
2020-03-30,3155,3,1,5,5
2020-03-31,6749,6,7,4,9
2020-04-01,8473,8,4,7,3
2020-04-02,5187,5,1,8,7
2020-04-03,6254,6,2,5,4
2020-04-04,8216,8,2,1,6
2020-04-05,7225,7,2,2,5
2020-04-06,1779,1,7,7,9
2020-04-07,1707,1,7,0,7
2020-04-08,6462,6,4,6,2
2020-04-09,5802,5,8,0,2
2020-04-10,6450,6,4,5,0
2020-04-11,8136,8,1,3,6
2020-04-12,1094,1,0,9,4
2020-04-13,4126,4,1,2,6
2020-04-14,0037,0,0,3,7
2020-04-15,8705,8,7,0,5
2020-04-16,5346,5,3,4,6
2020-04-17,2539,2,5,3,9
2020-04-18,0647,0,6,4,7
2020-04-19,2300,2,3,0,0
2020-04-20,4256,4,2,5,6
2020-04-21,5605,5,6,0,5
2020-04-22,5815,5,8,1,5
2020-04-23,9936,9,9,3,6
2020-04-24,7558,7,5,5,8
2020-04-25,3157,3,1,5,7
2020-04-26,4597,4,5,9,7
2020-04-27,6723,6,7,2,3
2020-04-28,3648,3,6,4,8
2020-04-29,2537,2,5,3,7
2020-04-30,0393,0,3,9,3
2020-05-01,0408,0,4,0,8
2020-05-02,2133,2,1,3,3
2020-05-03,1417,1,4,1,7
2020-05-04,3905,3,9,0,5
2020-05-05,0581,0,5,8,1
2020-05-06,3384,3,3,8,4
2020-05-07,3254,3,2,5,4
2020-05-08,0258,0,2,5,8
2020-05-09,6857,6,8,5,7
2020-05-10,4529,4,5,2,9
2020-05-11,1846,1,8,4,6
2020-05-12,3340,3,3,4,0
2020-05-13,9427,9,4,2,7
2020-05-14,8747,8,7,4,7
2020-05-15,7246,7,2,4,6
2020-05-16,2313,2,3,1,3
2020-05-17,4286,4,2,8,6
2020-05-18,3466,3,4,6,6
2020-05-19,3877,3,8,7,7
2020-05-20,8853,8,8,5,3
2020-05-21,7033,7,0,3,3
2020-05-22,8993,8,9,9,3
2020-05-23,1008,1,0,0,8
2020-05-24,9729,9,7,2,9
